90,245
문240,$a정보자료분류론 = $xLibrary classification / $d윤희윤 저
문240,$a정보자료분류론 = $xLibrary classification / $d윤희윤 저
문232,"$a정보자원의 기술과 메타데이터 = $xResource Description and Metadata / $d남태우, $e이승민 공저"
문620,$a디지털 시대의 정보 표현과 검색  / $dHeting Chu 저 ; $e장혜란 옮김
문240,"$a정보자료의 분류와 주제명 / $d최달현, $e이창수 공저"
문240,"$a정보자료의 분류와 주제명 / $d최달현, $e이창수 공저"
문241,$aDewey decimal classification and relative index /$ddevised by Melvil Dewey
문241,"$aDDC22 : $bDewey decimal classification and relative index. $nVOLUME 2, $pSchedules 000-599 / $dDevised by Melvil Dewey ; $eEdited by Joan S. Mitchell, $eJulianne Beall, $eGiles Martin, $eWinton E. Matthews, Jr., $eGregory R. New"
문470,"$aKOLAS III 사용자 매뉴얼 : $bKOREAN LIBRARY AUTOMATION SYSTEM III / $d국립중앙도서관, $e한국통합기술 [공저]"
문470,"$aKOLAS III 사용자 매뉴얼 : $bKOREAN LIBRARY AUTOMATION SYSTEM III / $d국립중앙도서관, $e한국통합기술 [공저]"
문470,"$aKOLAS III 사용자 매뉴얼 : $bKOREAN LIBRARY AUTOMATION SYSTEM III / $d국립중앙도서관, $e한국통합기술 [공저]"
문333,"$a도서관장애인서비스 이론과 실제 / $d국립중앙도서관, $e국립장애인도서관 [공저]"
문333,"$a도서관장애인서비스 이론과 실제 / $d국립중앙도서관, $e국립장애인도서관 [공저]"
문210,"$a디지털시대의 장서관리 / $d송영희, $e노진영, $e권은경, $e윤혜영 [공]저"
문119.912,$a서지학에의 권유 : $b중국의 책 사랑 문화를 배우다 / $d다카하시 사토시 지음 ; $e고인덕 옮김
문338,$a컴퓨터와 디지털 도서관의 이해 / $d유양근 지음
381.79,$a술잔의 미학과 해학 / $d남태우 편저
문620,"$a학술정보의 탐색 및 활용 / $d곽동철, $e노영희 공저"
문620,"$a학술정보의 탐색 및 활용 / $d곽동철, $e노영희 공저"
문240,$a자료분류론 / $d이창수 지음
문511,"$a정보서비스론. $n1, [$pChapter1-5] = $xINFORMATION SERVICES / $d박준식 [저]"
문511,"$a정보서비스론. $n2, [$pChapter6-12] = $xINFORMATION SERVICES / $d박준식 [저]"
문770.024,"$a(R과 Python을 활용한) 기초통계플러스알파 = $xBasic Statistics with R & Python / $d김명준, $e김영화, $e박영호 [공]지음"
004 (컴퓨터과학),"$a컴퓨팅사고와 인공지능 리터러시 : $b이론과 실습 / $d김영민, $e이기성, $e이민정, $e전주현 [공]지음"
325.9 (회계학),$a회계세상으로 가는 여행 : $bI Can Count Anything with Money / $d박인선 저
"377.256 (학생조직, 학생운동)",$a2023-2학기 전체학생대표자회의 / $d중앙대학교 서울캠퍼스 제65대 총학생회 그린 [편]
"377.256 (학생조직, 학생운동)",$a2023-2학기 전체학생대표자회의 / $d중앙대학교 서울캠퍼스 제65대 총학생회 그린 [편]
문060,"$a(The) New Current of Library and Information Science in the 21st Century : $b2010 중앙대학교 문헌정보학과 국제학술대회 / $d중앙대학교 문헌정보학과 CAU 선도연구단, $e중앙대학교 문헌정보학과 BK21 사업단 [공편]"
문840,$a발달적 독서치료를 통한 자아실현에 관한 연구 = $x(A) Study on the Self-Actualization through Development Bibliotherapy : $b제47회 석사학위논문 / $d이원지 [저]
문340,$a학교도서관의 전자자료 선정정책에 관한 연구 = $x(A) Study on Digital Resources Selection Policy of the School Library : $b제47회 석사학위논문 / $d김이숙 [저]
문621,$a내용 기반 멀티미디어 검색을 위한 메타데이터 요소에 관한 연구 = $x(A) Study on the Metadata Elements for Content-based Multimedia Retrieval : $b제104회 석사학위논문 / $d임은주 [저]
813.62 (1945-1999 소설),$a아버지 : $b김정현 장편소설 / $d김정현 [저]
843.4 (19세기 영미 소설),$aFrankenstein : $bor The Modern Prometheus / $d[by] Mary Shelley; $eEdited by M.K.Joseph
"377.256 (학생조직, 학생운동)",$a2025-1학기 전체학생대표자회의 / $d중앙대학교 서울캠퍼스 67대 총학생회 울림 [편]
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
문071,$a중앙대학교 문헌정보학과 50년사 = $x(The) Semi-centennial History of Library and Information Science : $b1963-2013 / $d중앙대학교 문헌정보학과
711.47 (한자교습서),"$a大學漢文[대학한문] / $d이찬욱, $e정숙인, $e이명현, $e김성문, $e심호남 [공저]"
문613,$a메타데이터 구조론 = $xTheory of Metadata /$d중앙대학교 문헌정보학과 [저]
370.1 (교육 철학 및 이론),"$a현대 교육학개론  / $d박철홍, $e강현석, $e김석우, $e김성열, $e김회수, $e박병기, $e박인우, $e박종배, $e박천환, $e성기선, $e손은령, $e이희수, $e조동섭 공저"
370.1 (교육 철학 및 이론),"$a新[신]교육학개론 = $xINTRODUCTION TO EDUCATION / $d김영봉, $e김경수, $e강병재, $e나항진, $e박선미, $e박영래, $e박혜경, $e이덕난, $e이명숙 공저"
376.64 (고등학교교육과정),"$a학교 교육과정 편성·운영의 실제 / $d이경환, $e김만곤, $e임광수, $e홍영표, $e김동원, $e박제윤, $e권영민, $e김대원, $e김승익, $e송달용, $e이화성, $e김연석, $e김정수 [공편]"
"373 (학습지도, 교육방법)","$a교육방법 및 교육공학 / $d박숙희, $e염명숙, $e이경희 공저"
370 (교육학),"$a교육학개론 / $d김영봉, $e강병재, $e권순희, $e김희대, $e문태순, $e변종임, $e심형진 공저"
"360.109 (법학사, 법사상사)",$a법철학사 = $xThe History of Legal Philosophy / $d오세혁 지음
365.1 (민법총론),$a民法總則[민법총칙] : $b民法講義 I[민법강의 1] / $d郭潤直 著[곽윤직 저]
004.22 (컴퓨터구조),"$a컴퓨터 구조 및 설계 = $xComputer Organization and Design : $b하드웨어/소프트웨어 인터페이스 / $dDAVID A. PATTESON, $eJOHN L. HENNESSY [공저] / $d박명순, $e김병기, $e하순희, $e장훈 [공]옮김"
"문766 (마크업, 스타일 시트)",$a(Do it!)HTML+CSS3 웹 표준의 정석 : $b기초부터 반응형 웹까지! HTML 권위자에게 정석으로 배워라! / $d고경희 지음
"179 (논증, 설득)",$a논증의 이해 : $b비판적 사고를 위한 논리 / $d홍경남 [저]
331.6 (커뮤니케이션),$a커뮤니케이션論[론] = $x(A)Study of Communication / $d洪起宣 著[홍기선 저]
문010(이론),$aConcise Guide to Information Literacy / $d[by] Scott Lanning
"680 (공연예술, 매체예술)","$a(알고 누리는)영상문화 : $b영화, 텔레비전, 광고, 뮤직비디오, 애니메이션, 게임 / $d주유신, $e문재철, $e박지연, $e김정선, $e안지혜, $e최은, $e장선영 [공]지음"
문773 (유비쿼터스 컴퓨팅),"$a(공유와 감시의 두 얼굴)유비쿼터스 / $d리처드 헌터 지음 ; $e윤정로, $e최장욱 [공]옮김"
"802 (문장작법, 수사학)",$a교양과 계몽. $n1 : $p인문사회계열 글 읽기 / $d중앙대학교 교양학부 글쓰기교육위원회 엮음
321.5 (노동경제),"$a자본주의의 노동세계 / $d크리스 틸리, $e찰스 틸리 [공]지음 ; $e이병훈, $e조효래, $e윤정형, $e김종성, $e김정해 [공]옮김"
331 (사회학),$a미래사회학 : $b미래연구와 21세기 설계 / $d배규한 [저]
711.4 (한자),$a(懸吐完譯)明心寶鑑[(현토완역) 명심보감] / $d成百曉[성백효] 譯註[역주]
$a747.5,"$aNorthStar : $bListening & Speaking 2 / $d[by] Robin Mills, $eLaurie Frazier"
$a747.5,"$aNorthStar : $bListening & Speaking 2 / $d[by] Robin Mills, $eLaurie Frazier"
$a747.5,"$aNorthStar : $bListening & Speaking 2 / $d[by] Robin Mills, $eLaurie Frazier"
$a325.9,"$a(대학생을 위한)생활속의 회계 / $d정도진, $e박인선, $e한형성, $e배수진 [공]저"
$a802,"$a대학생을 위한 글쓰기 / $d김미선, $e류찬열, $e신현규, $e오창은, $e이유미, $e임영봉, $e임현열 [공저]"
$a802,"$a대학생을 위한 글쓰기 / $d김미선, $e류찬열, $e신현규, $e오창은, $e이유미, $e임영봉, $e임현열 [공저]"
$a문760.7 프로그래밍도구+교육자료(프로그래밍에 대한 기초 지식 쌓기 및 다양한 프로그램언어를 사용한 실습이라서 하나의 언어나 복합 주제로 분류하기 애매),"$a컴퓨팅 사고와 문제 해결 / $d조성래, $e이민정, $e강은지, $e이형수 [공]지음"
$a문760.7 프로그래밍도구+교육자료(프로그래밍에 대한 기초 지식 쌓기 및 다양한 프로그램언어를 사용한 실습이라서 하나의 언어나 복합 주제로 분류하기 애매),"$a컴퓨팅 사고와 문제 해결 / $d조성래, $e이민정, $e강은지, $e이형수 [공]지음"
$a331.607 커뮤니케이션+교육자료,"$a창의적 사고와 소통 = $xCreative thinking&communication / $d이연도, $e최윤경, $e한수영, $e홍경남, $e홍달오 [공]편저"
$a문760.7 프로그래밍도구+교육자료,"$a(프로그래밍 입문자를 위한) 컴퓨팅적 사고와 문제해결 : $b이론과 실습 / $d김영민, $e이기성, $e이민정, $e이태민, $e전주현 [공]지음"
"$a331.54 (제3차 산업혁명이 핵심인 책은 맞지만, 사회의 전반적인 변화에 대한 예측을 담음, 정보화에 대한 내용만 있는 게 아니기 때문에 문정 책으로 분류하기엔 너무 포괄적인 내용인 것 같음->집단지성이 필요했을 것 같아요... 그래도 문정으로 구분한다면 문013 ?)",$a제3의 물결 / $d앨빈 토플러 著[저] ; $e劉載天 譯[유재천 역]
$a331.5412,$a제4차 산업혁명을 준비하다 : $b제4차 산업혁명 관련 자료 목록집 / $d국립세종도서관 [편]
$a372.56,$a2023-1학기 전체학생대표자회의 / $d중앙대학교 서울캠퍼스 제65대 총학생회 그린 [편]
$a372.56,$a2023-2학기 전체학생대표자회의 / $d중앙대학교 서울캠퍼스 제65대 총학생회 그린 [편]
$a372.56,$a2024-1학기 사회과학대학 단대학생대표자회의 / $d중앙대학교 제13대 사회과학대학 학생회 FAVOR! [편]
$a325.3,"$a(글로벌 선진기업에게 배우는) 핵심인재 확보전략 / $d최병권, $e한상엽 [공]지음"
$a376.64,"$a재량 활동 교육과정 편성·운영의 실제 / $d이경환, $e김만곤, $e임광수, $e홍영표, $e김동원, $e박제윤, $e권영민, $e김대원, $e김승익, $e송달용, $e이화성, $e김연석, $e김정수 [공편]"
$a711.47,"$a實用漢字 練習[실용한자 연습] / $d김경수, $e이찬욱 共編[공편]"
$a711.47,"$a實用漢文의 理解[실용한문의 이해] / $d이찬욱, $e이명현 공저"
$a370.7,$a교육사·교육철학 강의 / $d김인회 지음
331.12 (+01 조기표 이론),$a집합행동과 사회운동의 이론 = $xTheories of Collective Behavior and Social Movements / $d임희섭 [저]
920.4,"$a근대 유럽의 형성 : $b16-18세기 / $d이영림, $e주경철, $e최갑수 [공]저"
814.061081,$a民世安在鴻選集2.[민세안재홍선집2]$n2 / $d安在鴻選集刊行委員會 編[안재홍선집간행위원회 편]
331.1,$a사회심리학의 이해 = $xSocial psychology / $d한규석 지음
문 524(.13),"$a인문·사회과학 주제정보원 = $xInformation Sources in Humanities and Social Sciences / $d최은주, $e배순자, $e남영준 [공]저"
문 520 (620도 논의 대상이었으나 520이 더 적절해보임),$a(Digital Library Practice) 도서관 정보시스템 실무 = $xLibrary System Practice / $d이정수 [저]
문 520 (620도 논의 대상이었으나 520이 더 적절해보임),$a(Digital Library Practice) 도서관 정보시스템 실무 = $xLibrary System Practice / $d이정수 [저]
701,$a현대인의 언어와 표현 / $d<언어와표현> 편찬위원회 저
문 512,"$aDeveloping Library and Information Center Collections / $d[by]G. Edward Evans, $eMargaret Zarnosky Saponaro"
문 210,$aFUNDAMENTALS of COLLECTION DEVELOPMENT and MANAGEMENT / $d[by]Peggy Johnson
문 210,$aFUNDAMENTALS of COLLECTION DEVELOPMENT and MANAGEMENT / $d[by]Peggy Johnson
711.47,"$a敎養漢文[교양한문] / $d李燦旭[이찬욱], $e申鉉圭 共著[신현규 공저]   "
365.1,$a民法總則: 民法講義Ⅰ[민법 총칙: 민법 강의 I] / $d 郭潤直 著[곽윤직 저]   
378,$a2018년도 한국평생교육학회 상반기 연차학술대회 : $b평생교육 생애경로와 영역의 재해석과 탐구 / $d한국평생교육학회 중앙대학교 한국교육문제연구소 [공편]
849.082,"$a(The) Norton Anthology of American Literature. $nVolumeA, $pAmerican Literature 1820-1865 / $dNina Baym General Editor"
849.082,"$a(The) Norton Anthology of American Literature. $nVolumeB, $pAmerican Literature 1820-1865 / $dNina Baym General Editor"
180.733,$aDoing Psychology Experiments / $d[by]David W. Martin
325.24,"$a(평범했던 CEO는 어떻게 경영천재가 되었을까?) 경영천재가 된 CEO : $b소설로 들려주는 경영천재의 5가지 비밀 / $d홍의숙, $e이희경 공저"
340.99,$a나의 친구 마키아벨리 / $d 시오노 나나미 지음 ; $e오정환 옮김
325.5,"$a(마케팅 실무자를 위한 실전 입문서)마케팅 전략 기획 / $d예종석, $e김용준 [공]지음"
370.13,$a교육사회학 / $d김신일 [저]
문840,"$aHow to read a book / $dby Mortimer J.Adler, $eCharles Van Doren"
332.276,$a동서양 역사 속의 다문화적 전개 양상 = $xEvolvemental Aspects of Multi-Culture in Eastern and Western History / $d문화콘텐츠기술연구원 다문화콘텐츠연구사업단 엮음
325.2,"$a(알기쉬운)비즈니스 코칭 / $d혼다 카쯔지, $e이시키와 요오 [공]지음 ; $e송원재 옮김"
문300,$a금서의 미혹 유혹의 도서관 : $b불 타는 도서관 화염속의 책 / $d남태우 저
문850,"$a한국의 독서문화사 / $d남태우, $e김중권 공저"
문850,"$a한국의 독서문화사 / $d남태우, $e김중권 공저"
문260,$a장서관리론 : $b점토판에서 사이버북까지 / $d윤희윤 저
220.8,"$a韓國佛敎學硏究叢書. $n81, $p佛敎遺蹟 2 및 金石文. : $b新羅佛敎 篇 / $d불함문화사 [편]"
220.8,"$a韓國佛敎學硏究叢書. $n82, $p金石文 및 芬皇寺 : $b新羅佛敎 篇 / $d불함문화사 [편]"
320.01,$a(안국신) 경제학 길잡이 = $xNavigator @ economics / $d안국신 지음
911.0077,"$a(2016 시나공) 한국사능력검정시험 : $b고급 1·2급 : $b기출문제의 재구성 = $xKorea history proficiency examination - advanced level / $d이건홍, $e허진, $e이희명 [공]지음"
